work_group,expected_source,status,in_primary,in_secondary,in_combined,expected_documents,combined_documents,expected_doc_ids,combined_doc_ids
Bacalbasa__1893,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_1893.txt,Bacalbasa_1893.txt
Bacalbasa__1Mai,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_1Mai.txt,Bacalbasa_1Mai.txt
Bacalbasa__300000Lei,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_300000Lei.txt,Bacalbasa_300000Lei.txt
Bacalbasa__AcelCeTace,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_AcelCeTace.txt,Bacalbasa_AcelCeTace.txt
Bacalbasa__Ajutor,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Ajutor.txt,Bacalbasa_Ajutor.txt
Bacalbasa__AlexandruIii,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_AlexandruIii.txt,Bacalbasa_AlexandruIii.txt
Bacalbasa__AmintiriLiterareGenialulPatrascu,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_AmintiriLiterareGenialulPatrascu.txt,Bacalbasa_AmintiriLiterareGenialulPatrascu.txt
Bacalbasa__AnulNou,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_AnulNou.txt,Bacalbasa_AnulNou.txt
Bacalbasa__Armonie,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Armonie.txt,Bacalbasa_Armonie.txt
Bacalbasa__Art262CodPenal,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Art262CodPenal.txt,Bacalbasa_Art262CodPenal.txt
Bacalbasa__ArtaIncurajata,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_ArtaIncurajata.txt,Bacalbasa_ArtaIncurajata.txt
Bacalbasa__ArtaNoastra,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_ArtaNoastra.txt,Bacalbasa_ArtaNoastra.txt
Bacalbasa__ArtaPentruArta,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_ArtaPentruArta.txt,Bacalbasa_ArtaPentruArta.txt
Bacalbasa__AutoriiRascoalelor,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_AutoriiRascoalelor.txt,Bacalbasa_AutoriiRascoalelor.txt
Bacalbasa__BaiatulRomaniei,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_BaiatulRomaniei.txt,Bacalbasa_BaiatulRomaniei.txt
Bacalbasa__BaietiiLuiBratianu,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_BaietiiLuiBratianu.txt,Bacalbasa_BaietiiLuiBratianu.txt
Bacalbasa__BataiaInArmata,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_BataiaInArmata.txt,Bacalbasa_BataiaInArmata.txt
Bacalbasa__BeneMerenti,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_BeneMerenti.txt,Bacalbasa_BeneMerenti.txt
Bacalbasa__CDobrogeanuGherea,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_CDobrogeanuGherea.txt,Bacalbasa_CDobrogeanuGherea.txt
Bacalbasa__Calm,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Calm.txt,Bacalbasa_Calm.txt
Bacalbasa__CartileDidactice,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_CartileDidactice.txt,Bacalbasa_CartileDidactice.txt
Bacalbasa__CasaDeNebuni,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_CasaDeNebuni.txt,Bacalbasa_CasaDeNebuni.txt
Bacalbasa__CeEsteConstitutia,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_CeEsteConstitutia.txt,Bacalbasa_CeEsteConstitutia.txt
Bacalbasa__CeFaceCaragiale,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_CeFaceCaragiale.txt,Bacalbasa_CeFaceCaragiale.txt
Bacalbasa__ColegiulTaranesc,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_ColegiulTaranesc.txt,Bacalbasa_ColegiulTaranesc.txt
Bacalbasa__ConvorbireCuGhereaDobrogeanu,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_ConvorbireCuGhereaDobrogeanu.txt,Bacalbasa_ConvorbireCuGhereaDobrogeanu.txt
Bacalbasa__DeNunta,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DeNunta.txt,Bacalbasa_DeNunta.txt
Bacalbasa__DinCrimeleLuiTakeIonescu,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DinCrimeleLuiTakeIonescu.txt,Bacalbasa_DinCrimeleLuiTakeIonescu.txt
Bacalbasa__DinGoanaVietei,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DinGoanaVietei.txt,Bacalbasa_DinGoanaVietei.txt
Bacalbasa__DinViataMilitaracavalerulAmabil,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DinViataMilitaracavalerulAmabil.txt,Bacalbasa_DinViataMilitaracavalerulAmabil.txt
Bacalbasa__DinViataMilitaracopilDeTrupa,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DinViataMilitaracopilDeTrupa.txt,Bacalbasa_DinViataMilitaracopilDeTrupa.txt
Bacalbasa__DinViataMilitaradezertorul,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DinViataMilitaradezertorul.txt,Bacalbasa_DinViataMilitaradezertorul.txt
Bacalbasa__DinViataMilitarafatme╠Ç,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DinViataMilitarafatme╠Ç.txt,Bacalbasa_DinViataMilitarafatme╠Ç.txt
Bacalbasa__DinViataMilitaramosul,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DinViataMilitaramosul.txt,Bacalbasa_DinViataMilitaramosul.txt
Bacalbasa__DinViataMilitaranebunul,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DinViataMilitaranebunul.txt,Bacalbasa_DinViataMilitaranebunul.txt
Bacalbasa__DinViataMilitarapregatiriPentruSurprindere,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DinViataMilitarapregatiriPentruSurprindere.txt,Bacalbasa_DinViataMilitarapregatiriPentruSurprindere.txt
Bacalbasa__DinViataMilitaraunSergentMajor,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DinViataMilitaraunSergentMajor.txt,Bacalbasa_DinViataMilitaraunSergentMajor.txt
Bacalbasa__DonMaiorFritz,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DonMaiorFritz.txt,Bacalbasa_DonMaiorFritz.txt
Bacalbasa__DupaSerbari,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_DupaSerbari.txt,Bacalbasa_DupaSerbari.txt
Bacalbasa__EmblemaRegala,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_EmblemaRegala.txt,Bacalbasa_EmblemaRegala.txt
Bacalbasa__FabricaDeCiocoi,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_FabricaDeCiocoi.txt,Bacalbasa_FabricaDeCiocoi.txt
Bacalbasa__Foametea,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_Foametea.txt,Bacalbasa_Foametea.txt
Bacalbasa__FunctionariiComerciali,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_FunctionariiComerciali.txt,Bacalbasa_FunctionariiComerciali.txt
Bacalbasa__FurtFaraEfractie,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_FurtFaraEfractie.txt,Bacalbasa_FurtFaraEfractie.txt
Bacalbasa__GeografulGobjan,ro-stories-AP-clean,ok,False,True,True,1,1,Bacalbasa_GeografulGobjan.txt,Bacalbasa_GeografulGobjan.txt
